Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
PAR003,Agrippa,Dead Wait EP ,Par Avion,"12"", EP, W/Lbl, Han",,2019,13741305,Uncategorized,2022-05-09 05:19:32,Mint (M),Mint (M),
PRTLLP009,The Disciples (2), Infinite Density Of Dub ,Partial Records,"LP, RE",,2021,18455557,Uncategorized,2021-08-21 03:56:19,,,
PEARS3 ,Pearson Sound,Rubble,Pearson Sound,"12""",,2018,12809198,Picks,2019-05-01 21:24:19,Mint (M),Mint (M),
PengSound006,Ishan Sound,Ishan Sound,Peng Sound,"2x12"", RP",,2015,7107454,Uncategorized,2022-01-28 02:41:16,Very Good Plus (VG+),Near Mint (NM or M-),
PENGSOUND008,Ishan Sound ft. Rider Shafique,Trojan,Peng Sound,"2x10"", EP, RP",,2016,9930098,Sell,2019-05-01 21:06:53,Mint (M),Mint (M),
PB006,Various,Inverted Echoes,Pho Bho Records,"12"", EP, S/Edition, Gre",,2022,21247936,Uncategorized,2022-04-07 19:38:38,,,
CDPIR 1259,Sin Palabras,House Of Drums,Piranha,"CD, Album",,1998,7414196,Uncategorized,2021-08-21 03:25:34,,,
PLQ07,O.G. Jigg,Dominion Window,Plaque Records,Cass,,2022,23607989,Uncategorized,2022-07-06 05:29:33,,,
PLMN 001,Paleman,PLMN 001,PLMN,"12"", Ltd, W/Lbl, Sta",,2016,9485551,Picks,2019-05-01 21:52:42,Mint (M),Generic,
POLY008,Overmono,Raft Living,Poly Kicks,"12""",,2018,12610190,Picks,2019-05-01 21:26:13,Mint (M),Mint (M),
POLY010,Joy Orbison,50 Locked Grooves,Poly Kicks,"12""",,2019,13579711,Various,2019-05-15 09:19:12,Mint (M),Mint (M),
3715319,The Velvet Underground & Nico (3),The Velvet Underground & Nico,"Polydor, Universal Music Group International","CD, Album, RE, RM",,2012,4828089,Uncategorized,2022-03-04 15:38:56,,,
none,Suckdog,Drugs Are Nice,Post-Materialization Music,"Cass, Ltd",,2017,11748248,Uncategorized,2022-03-04 10:34:21,,,
PRE004,Yolabmi,Ordinary Days,Prepaid Records,"Cass, Album, Ltd, 40",,2021,17655655,Uncategorized,2022-03-04 10:17:46,,,
PSLP 90,"Skin, Flesh & Bones",Dub In Blood,Pressure Sounds,"LP, Album, RE, TP",,2016,15799519,Uncategorized,2021-07-05 01:57:04,,,
PSLP009,Lee Perry,Voodooism,Pressure Sounds,"LP, Album, Comp",,1996,210368,Uncategorized,2021-09-20 22:48:22,Near Mint (NM or M-),Near Mint (NM or M-),
PSS157,Tommy McCook,Death Trap,Pressure Sounds,"7""",,2020,15985560,Uncategorized,2021-07-04 13:24:52,,,
PSS124,Lloyd Parks,Slaving (Steppers Cut),"Pressure Sounds, Parks","7"", Single, RE",,2017,11225672,Uncategorized,2021-07-04 13:28:32,,,
PSS146,Tommy McCook / Tommy McCook & King Tubby,Revenge / Greetings,"Pressure Sounds, Prophet (2)","7"", Single, RE",,2019,13675981,Uncategorized,2020-12-02 11:44:23,,,
PSS 042,The Upsetters,Strong Drink,"Pressure Sounds, Upsetter","7"", Single",,2011,2859502,Uncategorized,2021-07-04 13:36:59,,,
P011,DJ Firmeza,Alma Do Meu Pai,Príncipe,"12"", EP, Han",,2015,7649614,Various,2019-05-01 21:28:02,Mint (M),Mint (M),
P027,DJ Firmeza,Ardeu,Príncipe,"12""",,2019,14132931,Uncategorized,2020-09-19 22:18:37,Mint (M),,
PRB 011,Huerco S.,Railroad Blues,Proibito,"12""",,2015,7260719,Uncategorized,2022-01-28 02:41:16,Very Good (VG),Generic,
PRB018,Huerco S.,For Those Of You Who Have Never (And Also Those Who Have),Proibito,2xLP,,2016,8541536,Uncategorized,2020-09-19 22:16:05,,,
PSS145,Vivian Jackson & The Prophets,Judgement On The Land,"Prophets, Pressure Sounds","7"", Single, RE",,2019,13675944,Uncategorized,2020-12-02 11:44:12,,,
PSS154,Vivian Jackson,Run Come Rally,"Prophets, Pressure Sounds","7"", RE, Sol",,2020,15474062,Uncategorized,2020-10-21 22:06:27,,,
PLIB007,Saint Abdullah,In God's Image,Psychic Liberation,"2xCD, Ltd",,2020,15800325,Uncategorized,2022-03-04 15:18:20,,,
drunk025,Kahn (5),Illy / Tehran,Punch Drunk,"12""",,2011,3156677,Uncategorized,2022-10-10 10:35:05,,,
DRUNK3,RSD,Corner Dub (Blue & Red Mix) / Pretty Bright Light,Punch Drunk,"12""",,2007,974578,Various,2019-05-01 21:31:11,Mint (M),Mint (M),
drunk5,Peverelist,Roll With The Punches / Die Brücke,Punch Drunk,"12""",,2007,1131757,Classics,2019-05-02 19:57:52,Mint (M),Generic,
drunk7,Pinch (2),Dr Carlson / 136 Trek,Punch Drunk,"12""",,2008,1290972,Uncategorized,2020-02-15 21:44:37,Near Mint (NM or M-),,
DRUNKCD001,RSD,Good Energy (A Singles Collection),Punch Drunk,"CD, Comp",,2009,1937189,Uncategorized,2022-03-04 15:36:29,,,
DRUNKCD002,Peverelist,Jarvik Mindstate,Punch Drunk,"CD, Album, Dig",,2009,2026218,Uncategorized,2022-03-04 15:17:12,,,
DRUNKCD003,Guido (20),Anidea,Punch Drunk,"CD, Album",,2010,2285619,Uncategorized,2022-03-04 15:15:51,,,
DRUNKCD004,Various,Worth The Weight:  Bristol Dubstep Classics,Punch Drunk,"2xCD, Comp",,2010,2538948,Uncategorized,2022-03-04 15:15:06,,,
DRUNKCD005,Bass Clef,Reeling Skullways,Punch Drunk,"CD, Album",,2012,3567043,Uncategorized,2022-03-04 15:14:24,,,
DRUNKCD006,Various,Worth The Weight Vol. 2: From The Edge,Punch Drunk,"CD, Comp",,2014,6799166,Uncategorized,2022-03-04 15:16:16,,,
PTP2013,Dis Fig,PURGE,Purple Tape Pedigree,"Cass, Dlx, RM",,2019,14428125,Uncategorized,2020-10-21 22:08:19,,,
HHD QNS 4,QNS,QNS 4,QNS,"12"", S/Sided, Ltd, Num, Sta",,2010,2522015,Uncategorized,2022-03-07 03:31:07,Near Mint (NM or M-),Generic,
RS 1102,Blawan,Bohla EP,R & S Records,"12"", EP",,2011,2755984,Classics,2019-05-02 20:16:28,Mint (M),Near Mint (NM or M-),
RS 1107,Klaus (25),Tusk EP,R & S Records,"12"", EP",,2011,3044573,Uncategorized,2022-05-09 05:19:04,Very Good Plus (VG+),Very Good Plus (VG+),
RS 1108,Blawan,What You Do With What You Have,R & S Records,"12""",,2011,3127881,Classics,2019-05-02 20:16:57,Mint (M),Near Mint (NM or M-),
R=A+7=4,Tribe Of Colin,Was Gwan Tell Dem II,R=A,"7""",,2018,12424121,Uncategorized,2022-08-23 08:45:46,,,
RAMP036,Shortstuff,The Summer Of Shortstuff Part 2,Ramp Recordings,"10""",,2010,2397058,Sell,2019-05-01 22:07:09,Mint (M),Mint (M),
RJLP002,King Tubby,King At The Control,Ranking Joe Universal,"LP, RE",,2017,11167936,Uncategorized,2020-05-13 15:53:57,Near Mint (NM or M-),,
88697844932,Foo Fighters,Wasting Light,RCA,"CD, Album",,2011,3071346,Uncategorized,2022-03-04 15:36:13,,,
00602567491118,Post Malone,Beerbongs & Bentleys,Republic Records,"CD, Album",,2018,11952773,Uncategorized,2022-03-04 11:42:45,,,
RREP06,Tapes (2), Sauna Research / Aquarium Trousers,Research Records,"7"", Single",,2021,18416362,Uncategorized,2022-02-17 05:14:19,,,
RS-01,Rhythm & Sound w/ Paul St. Hilaire,Music A Fe Rule,Rhythm & Sound,"12"", RP",,2021,19186105,Uncategorized,2021-07-04 13:49:01,,,
RS-03,Rhythm & Sound,Roll Off,Rhythm & Sound,"12""",,1998,17570,Various,2019-05-01 21:29:49,Mint (M),Mint (M),
RS-05,Rhythm & Sound,Carrier,Rhythm & Sound,"12"", RP",,2017,10920521,Uncategorized,2021-07-04 13:51:25,,,
RS-06,Rhythm & Sound,Trace,Rhythm & Sound,"12""",,2001,17578,Uncategorized,2021-07-04 13:52:08,,,
"RS-02, RS-02-W",The Chosen Brothers / Bullwackies All Stars / Rhythm & Sound,Mango Walk,"Rhythm & Sound, Wackie's","12""",,1998,17569,Uncategorized,2021-07-04 13:50:47,,,
RFRMMC09,Dori Sorride,A Catturare I Raggi,Riforma,"Cass, Album, Ltd",,2022,23672654,Uncategorized,2022-08-23 08:50:08,,,
"ROHS!03/7""",Babe Roots Feat. Ixm,Dub Sessions 1,Rohs! Records,"7"", Ltd, Num, RP, W/Lbl, Sta",,2017,10751210,Uncategorized,2020-05-13 15:53:04,Very Good Plus (VG+),,
001,Reducer (3),Product,RUSS,"12""",,2015,9551481,Uncategorized,2021-07-05 02:01:35,,,
002,Reducer (3),Untitled,RUSS,"12"", EP",,2021,18644242,Uncategorized,2021-08-21 03:58:31,,,
none,The Human Aerial & Sen Na / Reducer (3),A Change Of Worlds,"RUSS, Bokeh Versions","M/Stick, MPEG-4 Video, Min",,2021,19394221,Uncategorized,2022-03-04 11:16:31,,,
CCCP-010,Randomer,Untitled,Russian Torrent Versions,"12""",,2014,5934588,Uncategorized,2022-05-09 05:19:04,Very Good Plus (VG+),Generic,
RWDFWDMIX006,Maral (3),RWDFWDMIX006,RWDFWDMIX,"Cass, Mixed, C90",,2020,15062963,Uncategorized,2020-09-20 16:09:23,,,
ST 018,Young Marco,I'm Still Mellow,Safe Trip,"12""",,2022,22613483,Uncategorized,2022-04-07 19:37:48,,,
SGM001,Various,Window A / Window B,Sagome,"2xCass, Ltd",,2020,15754764,Uncategorized,2020-09-20 16:11:57,,,
SGM002,| RG |,Observer,Sagome,"Cass, Album, Ltd",,2020,16237921,Uncategorized,2022-08-23 12:29:18,,,
SGM004,Ssiege,dreamy pads of insecurity,Sagome,"Cass, Ltd, Mixed",,2022,23055830,Uncategorized,2022-08-23 12:29:26,,,
SMDE19,Donato Dozzy,The Tao,Samurai Music,"12"", EP, Ltd, Blu",,2020,16251688,Uncategorized,2022-03-23 03:48:17,Mint (M),Mint (M),
none,Various,Heartbeat Of Africa - Series 2: Drums Of Africa,Sapra Studio,"7""",,0,1616112,Early,2019-05-02 19:59:42,Mint (M),Near Mint (NM or M-),
"0777 7 88263 2 3, K2 88263, K2-88263",Slowdive,Souvlaki,"SBK Records, ERG, SBK Records","CD, Album, RP",,0,12918178,Uncategorized,2022-03-04 12:00:05,,,
SECOND CIRCLE 009,D.K. (10),Mystery Dub,Second Circle,"12"", EP",,2018,11678267,Uncategorized,2022-03-07 03:31:07,Mint (M),Mint (M),
S7S006,Boofy & Ishan Sound,Roll The Dice,Sector 7 Sounds,"12"", Sta",,2017,10919190,Various,2019-05-02 20:02:16,Mint (M),Generic,
S7S010,Drone (33),Horror / Boofy Remix,Sector 7 Sounds,"12"", Single, Sta",,2019,14240337,Uncategorized,2022-10-10 10:43:33,,,
UFO 12,DJ Fett Burger,Pub 18 / 411 Esperanza,Sex Tags UFO,"12"", EP",,2017,10325737,Uncategorized,2021-06-01 06:41:32,Near Mint (NM or M-),Very Good Plus (VG+),
88697722232,The Stone Roses,The Stone Roses,Silvertone Records,"CD, Album, RE, RM",,2010,3484137,Uncategorized,2022-03-04 15:44:42,,,
7599-26462-2,Ride,Nowhere,"Sire, Reprise Records","CD, Album",,1990,378814,Uncategorized,2022-03-04 15:41:58,,,
CD 26759,My Bloody Valentine,Loveless,"Sire, Warner Records, Creation Records","CD, Album",,0,15617346,Uncategorized,2022-03-04 14:52:49,,,
ZZZ 04,Sleeparchive,Infrared Glow,Sleeparchive,"12"", Blu",,2005,503307,Early,2019-05-02 20:19:38,Mint (M),Generic,
SMM0000101,Simone (411),Menomale,SMM0000,"12"", EP",,2022,24448748,Uncategorized,2022-10-05 14:53:39,,,
SM005V,Tracy (20),Reconstructions Part 2,Sonntag Morgen,"12""",,2014,6050110,Uncategorized,2021-06-01 06:41:32,Near Mint (NM or M-),Generic,
SS051,Jay Daniel,Scorpio Rising EP,Sound Signature,"12"", EP",,2013,4922222,Uncategorized,2022-04-16 02:00:30,Very Good Plus (VG+),Very Good Plus (VG+),
SDM001,Space Drum Meditation,SDM001,Space Drum Meditation,"12"", EP",,2018,12616537,Uncategorized,2022-03-07 03:31:07,Mint (M),Mint (M),
SDM004,Space Drum Meditation,Untitled,Space Drum Meditation,"12"", Gre",,2021,20207005,Uncategorized,2022-05-09 05:19:26,Mint (M),Mint (M),
SDM004,Space Drum Meditation,Untitled,Space Drum Meditation,"12"", Gre",,2021,20207005,Uncategorized,2022-05-25 18:14:36,Mint (M),,
sub​-​d47,Alberto de Cardeña,Voices EP ,SUBSIST,"CD-ROM, Ltd",,2016,8098368,Uncategorized,2022-03-04 15:22:32,,,
SWAMP:006,Ramadanman,Fall Short / Work Them,Swamp 81,"12""",,2010,2346720,Classics,2019-05-01 21:58:10,Mint (M),Mint (M),
SWAMP:021,Trusta,Hypnotic / Feel So,Swamp 81,"12""",,2012,3657322,Picks,2019-05-01 22:04:38,Mint (M),Near Mint (NM or M-),
SWAMPX1,"Nah Eeto, Sumgii",Wanawake,Swamp 81,"12"", Single",,2020,15349592,Uncategorized,2022-03-04 09:19:50,,,
301120,P.L.O.,Paleozoic Beat EP,Swamp Room Records,"7""",,1994,651019,Uncategorized,2022-01-28 02:41:16,Very Good Plus (VG+),Very Good Plus (VG+),
SYSTM032,Babe Roots,Music Mission,System Music (2),"12""",,2020,15339663,Uncategorized,2020-07-12 13:46:09,Mint (M),Generic,
SYSTM033,Boofy,Climb Out Of Your Hiding Place / Your Sheds Too Big,System Music (2),"12""",,2020,15561609,Uncategorized,2022-10-10 10:44:13,,,
SYSTM035,Kahn (5),Imhotep / Boofy Remix,System Music (2),"12"", 180",,2020,15867791,Uncategorized,2022-10-10 10:36:05,,,
TE-04,Ossia (2) Ft. Ollie Moore,Live At The Brunswick Club,Tape Echo,Cass,,2019,13885640,Uncategorized,2022-01-26 06:34:24,,,
TE-05,DJ Stryda, Cream Of Bristol Roots Pirate!,Tape Echo,"Cass, Ltd, Mixtape",,2021,16886184,Uncategorized,2022-03-04 10:44:47,,,
none,Evil Dee,Classic Cuts Beatminerz II,Tape Kingz,"Cass, Mixed",,0,9200630,Uncategorized,2022-03-04 11:02:34,,,
TX12-004,Gregory Isaacs,Rock Dis Ya Reggae Beat / Motherless Children,Taxi,"12"", RE",,2012,4107342,Uncategorized,2021-07-04 14:00:49,,,
TEMPA 030,Benga & Coki,Night,Tempa,"12"", RP",,2012,4099328,Uncategorized,2020-02-15 21:45:14,Near Mint (NM or M-),,
Tempa CD008,Skream,Skream!,Tempa,"CD, Album",,2006,811808,Uncategorized,2022-03-04 11:39:03,,,
Tempa.098,Alex Coulton,Recall / Wiretap,Tempa,"12""",,2015,6551077,Early,2019-05-01 22:11:20,Mint (M),Mint (M),
Tempa.106,Alex Coulton,Ambush / Direction,Tempa,"12""",,2016,8394887,Early,2019-05-01 21:54:26,Mint (M),Generic,
TTY 021 ,Mickey Pearce,Top 5 Goat Memes,Ten Thousand Yen,"12"", EP",,2016,9466209,Sell,2019-05-01 22:10:07,Mint (M),Generic,
TESC 003 ,Blawan, The Communicat 1022 EP ,Ternesc,"12"", EP",,2016,8249237,Early,2019-05-02 20:15:19,Mint (M),Mint (M),
TTW#155,Superior London Pulp,"The Real Occult's In The Pubs Of The East End, In The Sinking Ships Of The Thames",The Tapeworm,"Cass, Ltd",,2022,23869400,Uncategorized,2022-10-10 10:40:50,,,
TTT006,Tuff Sherm,Pharmacy EP,The Trilogy Tapes,"12"", EP",,2012,3975245,Uncategorized,2022-01-28 02:41:16,Near Mint (NM or M-),Very Good Plus (VG+),
TTT030,Ekman,Entropy,The Trilogy Tapes,"12"", EP",,2014,6055575,Uncategorized,2022-05-09 05:19:32,Mint (M),Near Mint (NM or M-),
TTT049,Anthony Naples,Slice of Life EP,The Trilogy Tapes,"12"", EP",,2016,9311426,Uncategorized,2022-03-07 03:31:07,Mint (M),Mint (M),
TTT070,Rezzett,Rezzett LP,The Trilogy Tapes,"2xLP, Pos",,2018,11479023,Uncategorized,2022-03-13 14:35:23,,,
TTT074,CS + Kreme,Cold Shoulder,The Trilogy Tapes,"12""",,2018,12370538,Uncategorized,2021-09-09 02:50:42,,,
TTT090,CS + Kreme,Snoopy,The Trilogy Tapes,"2xLP, Ltd",,2020,14788836,Uncategorized,2021-09-09 02:50:23,,,
TTT094,CS + Kreme,howwouldyoufeelwithoutthatthought,The Trilogy Tapes,"12"", EP",,2020,16341063,Uncategorized,2022-05-09 05:19:32,Mint (M),Mint (M),
Timedance008,Batu (4),Murmur EP,Timedance,"12"", EP",,2017,9795763,Picks,2019-05-01 21:54:49,Mint (M),Mint (M),
Timedance010,Ploy (2),Intrigued By The Drum,Timedance,"12"", EP",,2017,10584473,Picks,2019-05-02 20:11:52,Mint (M),Mint (M),
Timedance016,Laksa,The Amala Trick / In The Middle,Timedance,"12"", Single, Ltd",,2018,12835844,Picks,2019-05-01 21:30:16,Mint (M),Mint (M),
TNIEGE002,Tribe Of Colin,Yahweh Temple,Tniegebrohood,"12""",,2020,15797333,Uncategorized,2021-07-04 14:11:52,,,
TD2110,Various,Tone Dropout Vol 10,Tone Dropout,"12"", EP",,2022,23301179,Uncategorized,2022-09-12 13:27:12,,,
TSR21,Autumns,Dyslexia Sound System,Touch Sensitive Records,"LP, Ltd",,2021,17699812,Uncategorized,2021-07-04 14:10:36,,,
"TRESOR.323, TRESOR323LPW",LNS (2) & DJ Sotofett,Sputters,"Tresor, Tresor","2x12"", Album, Ltd, Whi",,2021,19328311,Uncategorized,2022-01-26 02:31:21,Mint (M),Mint (M),
TRUNCATE4,Truncate,Transients,Truncate,"12"", W/Lbl",,2012,3377799,Uncategorized,2021-06-28 07:12:07,,,
TOPP CD 007,Submarine (3),Submarine,ultimate,"CD, Album",,1994,702014,Uncategorized,2021-06-10 10:41:44,Near Mint (NM or M-),Near Mint (NM or M-),
PSS 036,The Upsetters / The Dub Organiser,Chim Cherie,"Upsetter, Pressure Sounds","7"", Single",,2010,2466747,Uncategorized,2021-07-04 13:36:19,,,
none,Lee Perry / Prince Jazzbo,Disco Devil / Croaking,Upsetters,"7"", Single, RE, Unofficial",,2014,6273671,Uncategorized,2021-07-04 13:21:25,,,
none,Max Romeo,I Chase The Devil,Upsetters,"7"", Single, RE",,2013,5290441,Uncategorized,2021-07-04 13:34:39,,,
version009 ,Yak (19),Mido,Version (2),"12""",,2017,10448004,Uncategorized,2022-04-01 05:29:11,Very Good Plus (VG+),,
version010,Orson (6),Life Gamble / 12:09,Version (2),"12""",,2018,12677966,Uncategorized,2021-06-01 06:41:32,Near Mint (NM or M-),Generic,
version013,Yak (19),Umbra / Kaepora,Version (2),"12""",,2019,13904655,Uncategorized,2022-04-01 05:29:11,Near Mint (NM or M-),Generic,
version015,Loefah / d1,Natural Charge / Crack Bong (Loefah Rmx),Version (2),"12"", 180",,2020,14941791,Uncategorized,2020-05-13 15:56:31,Near Mint (NM or M-),,
VR164,Various,Calypso Heat - The Definitive Calypso Compilation,"Victory World, Rituals Music","CD, Comp",,2001,10370458,Uncategorized,2021-08-21 03:25:55,,,
5099967929726,The Smashing Pumpkins,Siamese Dream,Virgin,"CD, Album, RE, RM",,2011,5854677,Uncategorized,2022-03-04 15:40:44,,,
5361725,The Abyssinians,Arise,"Virgin, Front Line (2), Universal UMC","CD, Album, RE",,2015,8230103,Uncategorized,2021-08-21 03:26:57,,,
"CDOVD 437, 0777 7 87164 2 6","Holger Czukay, Jah Wobble, Jaki Liebezeit",Full Circle,"Virgin, Virgin","CD, Album, RP",,0,12926264,Uncategorized,2022-03-04 11:54:53,,,
"CDVDR 2512, 50999 0 70015 2 9",Public Image Limited,Second Edition,"Virgin, Virgin","CD, Album, RE, RM, RP",,0,8469691,Uncategorized,2022-03-04 15:43:30,,,
VLEK18,Sagat (2),Melting The Earth Onto The Body Without Organs,Vlek,"12"", EP, Ltd",,2015,6895221,Uncategorized,2021-06-01 06:41:32,Near Mint (NM or M-),Very Good Plus (VG+),
none,Barrington Levy,Shaolin Temple,Volcano,"7"", RE",,0,6946410,Uncategorized,2021-08-21 03:30:43,,,
VOL 17-82,John Holt,Police In Helicopter,Volcano,"7"", RP",,0,6494399,Uncategorized,2021-07-04 13:25:30,,,
W-158,Tony Jackson (12) / Jah Batta,Mother I Love You / Vampire ,Wackie's,"12"", RE",,2018,12640910,Uncategorized,2021-08-21 04:17:07,,,
W-210,Stranger Cole / Leroy Heptone / Bullwackies All Stars,The Time Is Now / Revolution / Take Time,Wackie's,"12"", RE",,2002,377234,Uncategorized,2021-07-04 13:53:15,,,
W-2383,Love Joys,Lovers Rock Reggae Style,Wackie's,"LP, Album, RE",,2001,156866,Uncategorized,2021-07-04 13:53:43,,,
WINO-GD1,Gombeen & Doygen,D'Americana / Auto-Lies,Wah Wah Wino,"12""",,2021,17642617,Uncategorized,2021-08-21 04:15:49,,,
WAI ONE,Leeway (6),Vibe Collins EP,Wain,"12"", EP",,2020,16502187,Uncategorized,2021-07-05 01:46:37,,,
WAP391,Aphex Twin,Cheetah EP,Warp Records,"12"", EP",,2016,8720448,Classics,2019-05-02 20:17:20,Mint (M),Mint (M),
WAP401,DJ Nigga Fox,Crânio,Warp Records,"12"", EP",,2018,11675858,Uncategorized,2020-09-19 22:19:16,Mint (M),,
WAP406,Lorenzo Senni,XAllegroX / The Shape Of Trance To Come,Warp Records,"12"", EP",,2017,10900265,Classics,2019-05-02 20:15:39,Mint (M),Mint (M),
warplp101r,Boards Of Canada,Geogaddi,"Warp Records, Music70","2xLP + LP, S/Sided, Etch + Album, RE, RM",,2013,15290781,Uncategorized,2022-03-04 09:39:30,,,
"warplp55r, skalp 1",Boards Of Canada,Music Has The Right To Children,"Warp Records, Skam","2xLP, Album, RE, RP",,2021,22260676,Uncategorized,2022-03-04 09:44:52,,,
4509-93833-2,The Smiths,Louder Than Bombs,WEA,"CD, Comp, RE",,0,2292694,Uncategorized,2022-03-04 11:53:42,,,
WSR 003,Robert Fleck,Soft Focus EP,Well Street Records,"12"", EP",,2018,12012736,Uncategorized,2022-03-16 06:59:25,Mint (M),Mint (M),
WSR LF2,Loop LF,Natural XT EP,Well Street Records,"12"", EP",,2019,13830609,Uncategorized,2022-03-16 06:59:25,Near Mint (NM or M-),Mint (M),
WSR LF3,Loop LF,Drifting Forwards EP,Well Street Records,"12"", EP",,2020,15688786,Uncategorized,2020-09-20 08:31:41,,,
WSR RF2,Robert Fleck,Injury Time EP,Well Street Records,"12"", EP",,2021,19929340,Uncategorized,2022-03-07 03:31:07,Mint (M),Mint (M),
WSR SO1,Significant Other (3),Postdrome EP,Well Street Records,"12"", EP",,2019,14253765,Uncategorized,2022-03-16 06:59:25,Mint (M),Mint (M),
WSR SP1,Sputnik One,Warm Body EP,Well Street Records,"12"", EP",,2021,17693887,Uncategorized,2022-03-25 06:59:01,Mint (M),Mint (M),
OUEST099,Pendant (2),Make Me Know You Sweet,West Mineral Ltd.,"2xLP, Album, Ltd",,2018,11436417,Uncategorized,2022-03-04 09:28:50,,,
SF 98,P.L.O.,Ghaddafi Works,What's So Funny About..,"7""",,1990,651712,Uncategorized,2022-01-28 02:41:16,Very Good (VG),Very Good (VG),
WHYT019,Overmono,Whities 019,Whities,"12"", EP",,2018,12867498,Picks,2019-05-01 21:27:06,Mint (M),Mint (M),
WHYT024,Anunaku,Whities 024,Whities,"12"", EP",,2019,14273329,Picks,2019-11-07 07:22:20,Mint (M),Mint (M),
WHYTBLU06,Pugilist,Blue 06,Whities,"12""",,2019,13868434,Uncategorized,2022-04-16 02:00:30,Mint (M),Mint (M),
WSDM002,Hodge (3) / Acre (3),X / Don't Get Me Started,Wisdom Teeth,"12""",,2015,6666365,Early,2019-05-01 21:58:50,Mint (M),Very Good (VG),
WSDM011,K-Lone,Sine Language,Wisdom Teeth,"12""",,2019,13695712,Uncategorized,2022-03-16 06:59:25,Near Mint (NM or M-),Near Mint (NM or M-),
WOE002,Mosquitoes (3),Mosquitoes,World Of Echo (2),"10"", EP, RE",,2021,17578492,Uncategorized,2021-07-04 13:43:55,,,
XL1072T,Overmono,Pieces Of 8 / Echo Rush,XL Recordings,"12"", EP",,2021,18202450,Uncategorized,2021-07-05 01:45:32,,,
XLCD 324,Radiohead,In Rainbows,XL Recordings,"CD, Album, RE, Dig",,2016,10740255,Uncategorized,2022-03-04 11:49:22,,,
XLCD782,Radiohead,Kid A,XL Recordings,"CD, Album, RE",,2016,13201064,Uncategorized,2022-03-04 12:02:28,,,
YE004 ,Jabu (3),Jabu Remixes,Young Echo,"12""",,2019,13551713,Uncategorized,2020-09-20 08:33:09,,,
YE006,O$VMV$M,Manonmars / In Colour Instrumentals,Young Echo,2xCass,,2021,17427826,Uncategorized,2022-03-04 11:20:36,,,
Y15TH,NW/HR,Y15TH,Youth,"12""",,2022,23222723,Uncategorized,2022-10-10 10:40:05,,,
YOCS3,Remer Cier,Les Blues P.C,Youth,"Cass, Album",,2021,16992861,Uncategorized,2022-03-04 10:28:06,,,
YOCS5,Sockethead,AUMA,Youth,"Cass, Ltd",,2021,21434791,Uncategorized,2022-03-04 10:14:54,,,
none,Tenor Saw,Lots Of Sign,Youth Promotion,"7""",,1985,7780717,Uncategorized,2021-07-05 02:19:52,,,
ZAMZAM60,Heights & Worship,Selassie's Song,ZamZam Sounds,"7"", Ltd",,2018,11699621,Picks,2019-10-25 20:42:07,,,
ZAMZAM63,Alpha Steppa,Liberation / Pray,ZamZam Sounds,"7"", Ltd",,2018,11953347,Picks,2019-10-25 20:42:03,,,
ZAMZAM66,Pugilist,Roll Off,ZamZam Sounds,"7"", Ltd",,2018,12576708,Picks,2019-05-01 21:00:09,Near Mint (NM or M-),Mint (M),
ZAMZAM71,D-Operation Drop,Bronco,ZamZam Sounds,"7""",,2019,13518008,Uncategorized,2020-02-15 21:42:09,Near Mint (NM or M-),,
ZAMZAM75,Akcept,Cambridge Road,ZamZam Sounds,"7""",,2019,14226147,Picks,2019-11-04 18:40:14,Mint (M),Mint (M),
ZAMZAM77,"Rider Shafique, Ishan Sound & Kahn (5)",When Shall We Rise / When Shall We Dub,ZamZam Sounds,"7"", Ltd",,2020,15044979,Uncategorized,2020-09-20 08:26:40,Near Mint (NM or M-),,
ZEHNIN05 ,Paleman,Searching,Zehnin,"12"", EP",,2018,12132129,Early,2019-05-02 20:10:42,Mint (M),Generic,
